App Store Pricing Matrix
 	U.S. - US$	Canada - CAD	Mexico - MXN	Australia - AUD	New Zealand - NZD	Japan - JPY	Europe - Euro	Switzerland - CHF	Norway - NOK	U.K. - GBP	Denmark - DKK	Sweden - SEK	China - CNY	Singapore - SGD	Hong Kong - HKD	Taiwan - TWD	Russia - RUB	Turkey - TRY	India - INR	Indonesia - IDR	Israel - ILS	South Africa - ZAR	Saudi Arabia - SAR	UAE - AED
Tier	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds
Tier 65 104.62	73.24	99.59	69.72	103.54	72.48	101.20	64.40	105.01	73.50	94.61	66.23	119.99	73.04	113.46	73.54	121.52	68.05	110.53	67.28	127.21	77.43	109.24	66.49	109.52	76.66	104.56	73.19	104.84	73.39	104.56	73.20	101.57	71.10	93.92	65.74	92.59	64.82	89.24	62.47	116.51	81.56	83.97	58.78	99.64	69.75	101.73	71.21	
Tier 66 112.09	78.47	106.70	74.69	109.30	76.51	107.94	68.69	116.68	81.67	98.40	68.88	129.99	79.12	121.57	78.79	130.20	72.91	116.34	70.81	133.91	81.51	115.00	70.00	121.71	85.20	110.40	77.28	114.48	80.13	112.05	78.44	108.36	75.85	101.43	71.00	99.63	69.74	96.11	67.28	124.83	87.38	87.62	61.34	109.60	76.72	111.90	78.33	
Tier 67 119.56	83.70	113.81	79.67	115.05	80.54	114.69	72.99	122.51	85.75	105.97	74.18	139.99	85.21	129.67	84.04	138.88	77.77	127.98	77.90	140.61	85.59	126.51	77.01	127.81	89.47	116.24	81.37	120.26	84.18	119.54	83.68	112.88	79.02	108.94	76.26	104.31	73.02	102.98	72.08	133.16	93.21	94.92	66.45	115.58	80.90	118.01	82.61	
Tier 68 127.03	88.93	120.93	84.65	126.57	88.60	121.44	77.28	134.18	93.92	113.53	79.47	149.99	91.30	137.78	89.30	147.56	82.63	139.61	84.99	147.32	89.67	135.72	82.61	133.91	93.73	122.08	85.46	124.11	86.88	127.03	88.92	124.19	86.94	116.46	81.52	111.35	77.94	109.85	76.89	141.48	99.04	102.23	71.56	119.56	83.69	122.08	85.45	
Tier 69 130.77	91.55	124.48	87.14	132.32	92.63	124.81	79.43	137.09	95.96	117.32	82.12	154.99	94.34	141.83	91.93	151.28	84.72	143.11	87.10	154.02	93.75	138.02	84.01	140.00	98.00	127.93	89.55	133.75	93.63	132.02	92.41	128.72	90.10	120.21	84.15	116.04	81.22	113.28	79.30	145.64	101.95	105.88	74.11	129.53	90.67	132.25	92.58	
Tier 70 134.51	94.16	128.04	89.63	138.08	96.65	128.19	81.57	140.01	98.01	121.10	84.77	159.99	97.39	145.88	94.56	156.24	87.49	145.43	88.52	160.72	97.83	142.62	86.81	146.10	102.27	133.77	93.64	139.53	97.67	134.51	94.16	130.98	91.69	123.97	86.78	123.07	86.15	116.72	81.70	149.81	104.86	109.53	76.67	135.51	94.85	138.35	96.85	
Tier 71 141.98	99.39	135.16	94.61	143.83	100.68	134.93	85.87	145.85	102.09	124.89	87.42	169.99	103.47	153.99	99.81	164.92	92.35	151.25	92.06	167.42	101.91	151.83	92.42	152.20	106.54	139.61	97.73	143.39	100.37	142.00	99.40	135.50	94.85	131.48	92.04	127.76	89.43	123.59	86.51	158.13	110.69	113.18	79.23	139.49	97.64	142.42	99.70	
Tier 72 149.45	104.62	142.27	99.59	149.59	104.71	141.68	90.16	151.68	106.17	128.67	90.07	179.99	109.56	162.09	105.06	173.60	97.22	162.89	99.15	174.12	105.99	161.04	98.03	158.30	110.81	151.29	105.91	153.02	107.12	149.49	104.64	146.82	102.77	135.24	94.67	134.79	94.35	130.46	91.32	166.45	116.52	116.83	81.78	149.46	104.62	152.60	106.82	
Tier 73 156.93	109.85	149.38	104.57	155.34	108.74	148.43	94.45	157.51	110.26	136.24	95.37	189.99	115.65	170.19	110.31	182.28	102.08	168.70	102.68	187.53	114.15	172.55	105.03	170.49	119.35	157.14	110.00	158.80	111.16	156.97	109.88	153.60	107.52	142.75	99.93	139.48	97.63	137.33	96.13	174.78	122.34	124.13	86.89	155.43	108.80	158.70	111.09	
Tier 74 164.40	115.09	156.50	109.55	161.10	112.77	155.17	98.75	163.35	114.34	143.81	100.67	199.99	121.73	178.30	115.56	190.96	106.94	174.52	106.23	194.23	118.23	184.06	112.04	176.59	123.61	162.98	114.09	162.66	113.86	164.46	115.12	158.13	110.69	150.27	105.19	146.51	102.56	144.20	100.94	183.10	128.17	131.43	92.00	159.42	111.59	162.77	113.94	
Tier 75 171.87	120.32	163.61	114.53	172.61	120.83	161.92	103.04	169.18	118.43	151.38	105.97	209.99	127.82	186.40	120.81	199.64	111.80	186.16	113.32	200.93	122.31	195.58	119.05	182.69	127.88	168.82	118.18	172.30	120.61	171.95	120.36	169.44	118.61	157.78	110.45	151.20	105.84	151.07	105.75	191.42	134.00	138.74	97.11	169.38	118.57	172.94	121.06	
Tier 76 179.35	125.55	170.72	119.51	178.37	124.86	168.67	107.33	175.02	122.51	158.95	111.26	219.99	133.91	194.51	126.07	208.32	116.66	197.79	120.39	214.34	130.47	207.09	126.05	194.88	136.42	174.66	122.26	178.08	124.65	179.43	125.60	176.22	123.36	165.29	115.71	158.23	110.76	157.94	110.55	199.75	139.82	142.39	99.67	175.36	122.75	179.05	125.33	
Tier 77 186.82	130.78	177.84	124.49	184.12	128.89	182.16	115.92	186.68	130.68	166.52	116.56	229.99	139.99	202.61	131.33	217.00	121.52	203.61	123.94	227.74	138.63	218.60	133.06	200.98	140.69	180.50	126.35	181.93	127.35	186.92	130.84	180.75	126.52	169.05	118.33	162.92	114.04	164.80	115.36	208.07	145.65	146.04	102.23	179.35	125.54	183.12	128.18	
Tier 78 224.18	156.93	213.41	149.39	224.41	157.09	215.90	137.39	233.36	163.35	196.79	137.76	269.99	164.34	243.14	157.58	260.40	145.82	232.70	141.64	267.96	163.10	264.64	161.09	243.67	170.57	215.55	150.89	220.48	154.33	224.35	157.05	221.47	155.03	206.62	144.63	186.36	130.45	199.15	139.41	249.69	174.78	182.55	127.78	219.20	153.44	223.81	156.67	
Tier 79 261.55	183.09	248.98	174.29	258.95	181.26	256.38	163.15	262.53	183.77	227.07	158.95	319.99	194.78	283.66	183.85	303.80	170.13	290.88	177.06	308.17	187.58	299.18	182.11	280.25	196.18	250.61	175.43	259.02	181.32	249.31	174.52	259.92	181.95	244.19	170.93	221.52	155.07	233.50	163.45	291.31	203.92	219.06	153.34	259.06	181.34	264.50	185.15	
Tier 80 298.92	209.25	284.55	199.19	287.72	201.41	290.11	184.62	291.70	204.19	264.91	185.44	359.99	219.12	324.18	210.12	347.20	194.43	349.05	212.46	348.38	212.06	345.22	210.14	316.84	221.79	285.66	199.96	297.57	208.30	296.97	207.88	293.86	205.70	281.75	197.23	256.69	179.68	267.85	187.50	332.93	233.05	240.96	168.67	298.92	209.24	305.20	213.64	
Tier 81 336.28	235.40	320.11	224.08	345.28	241.70	337.34	214.67	320.87	224.61	295.19	206.63	399.99	243.47	364.70	236.38	390.60	218.74	378.14	230.17	402.00	244.70	391.27	238.16	365.62	255.94	344.08	240.86	336.11	235.28	321.93	225.35	339.10	237.37	300.54	210.38	291.85	204.29	295.33	206.73	374.55	262.18	277.47	194.23	318.84	223.19	325.54	227.88	
Tier 82 373.65	261.56	355.68	248.98	374.06	261.84	371.08	236.14	379.21	265.44	321.68	225.18	449.99	273.91	405.23	262.64	434.00	243.04	407.23	247.88	442.22	269.18	437.31	266.19	402.21	281.55	379.13	265.39	374.66	262.26	371.84	260.29	384.34	269.04	338.11	236.67	327.01	228.91	329.68	230.77	416.16	291.32	292.08	204.45	358.70	251.09	366.24	256.37	
Tier 83 448.38	313.87	426.82	298.78	460.39	322.27	438.54	279.07	437.55	306.28	378.45	264.91	549.99	334.78	486.27	315.18	520.80	291.65	465.41	283.29	536.05	326.29	517.89	315.24	487.58	341.30	460.91	322.64	432.47	302.73	446.71	312.70	452.21	316.55	413.24	289.27	385.61	269.93	377.77	264.44	499.40	349.58	365.10	255.57	438.41	306.89	447.62	313.34	
Tier 84 523.11	366.18	497.96	348.58	517.95	362.56	506.01	322.01	495.89	347.12	454.14	317.90	639.99	389.56	567.32	367.70	607.60	340.26	581.76	354.12	603.07	367.09	609.98	371.29	548.56	383.99	519.33	363.53	480.65	336.46	521.58	365.10	520.07	364.05	488.38	341.86	455.94	319.16	446.46	312.52	582.64	407.85	438.12	306.68	498.19	348.73	508.66	356.06	
Tier 85 597.84	418.49	569.10	398.37	575.51	402.85	573.48	364.94	554.23	387.96	529.83	370.88	719.99	438.25	648.36	420.24	694.40	388.86	639.94	389.53	670.09	407.88	690.56	420.34	609.53	426.67	577.75	404.43	577.02	403.91	596.44	417.51	610.56	427.39	525.95	368.16	526.26	368.38	515.16	360.61	665.88	466.11	474.62	332.24	597.83	418.48	610.40	427.28	
Tier 86 672.57	470.80	640.24	448.17	690.62	483.43	640.95	407.88	612.57	428.80	605.52	423.86	799.99	486.95	729.41	472.76	781.20	437.47	698.12	424.94	804.14	489.48	782.65	476.39	719.29	503.51	636.17	445.32	673.38	471.37	671.31	469.92	678.43	474.90	601.08	420.76	584.87	409.41	583.86	408.70	749.11	524.38	547.64	383.35	657.62	460.33	671.44	470.00	
Tier 87 747.30	523.12	711.37	497.97	748.17	523.72	708.42	450.82	729.25	510.47	643.36	450.35	899.99	547.82	810.45	525.29	868.00	486.08	814.47	495.77	871.16	530.27	863.23	525.44	792.47	554.73	753.01	527.11	760.11	532.07	746.18	522.32	746.29	522.40	676.22	473.35	643.47	450.43	652.56	456.79	832.35	582.64	584.15	408.91	737.33	516.13	752.82	526.98	
Note: Price tiers 1b and 2b are for Newsstand In-App Purchases only. Tier 1 and 1b are identical apart from Euro countries (0.99 Euro retail/0.60 Euro proceeds). Tier 2 and 2b are identical apart from Euro-countries (1.99 Euro retail/1.21 Euro proceeds). Proceeds are net of commission.
